Zip_Code,Mean,Median
36611,38773,30506
36048,37725,19528
35051,54606,31930
36572,63919,52814
36528,77948,67225
35057,50715,42643
36426,33737,23610
36020,46319,40242
35621,57994,39591
35151,54807,41712
35986,47929,38947
35901,42251,28811
36033,27993,19757
35136,31229,22745
36744,36439,21136
35563,56934,39047
36344,41057,21608
35080,93682,300000
35903,57202,46738
36467,49699,34049
35954,51926,300000
35576,44572,34725
35771,56029,31635
36420,51098,43794
36455,45465,36849
36553,67392,48713
36750,43767,30427
35064,48074,39817
36606,53330,38231
35650,42079,28180
35661,60729,49109
36765,32466,17389
35476,62410,54115
36801,55199,40430
35477,22603,6190
36867,86605,79218
36022,63066,57698
36067,53597,39054
35582,39220,29055
36421,39218,25895
35049,55127,44609
36572,59567,52275
35143,63758,45844
36877,57098,45637
35581,72297,300000
35148,51907,39657
36078,55849,50493
36619,55230,47636
35406,55815,38843
36854,49554,39263
35178,0,0
36850,71026,60438
35057,58314,49030
36280,48217,33446
36276,14741,11398
35442,28347,20997
35120,242857,300000
36830,59694,38029
36509,50047,35147
35022,41239,29150
35443,32777,12379
35548,33353,25776
35040,65576,64695
35447,41709,27321
35004,45862,32942
35120,62222,56867
35242,90262,71401
35242,92018,74570
35043,78399,71839
35114,85122,75896
36271,66000,54091
35477,34064,28981
35160,38882,27264
35150,40948,31044
36853,48421,35722
35475,77977,74807
35404,37965,29413
35401,24931,12361
35404,60252,45803
35404,53301,40174
35578,40072,29226
36863,35951,23009
36558,48623,40342
35541,49046,36818
36067,58180,51927
36025,41464,35150
36051,59061,300000
36562,55216,43407
36507,36474,24377
36526,107603,97539
36551,50583,41882
36567,69996,300000
35045,56638,41768
36532,67864,52050
36535,71445,58784
36547,65583,300000
36535,49212,300000
32506,57395,46769
36016,56947,45615
36027,43222,26304
35034,67555,54574
35121,34855,32407
35049,56385,49459
36908,53998,39956
35031,47717,30660
35079,58684,47284
36089,30765,25206
36037,30564,21911
36456,36333,27877
36201,27581,15743
36207,55336,41259
36203,54371,46871
36201,49509,48881
36265,46650,41809
36545,40352,30601
36265,33803,13029
36272,35282,27332
36250,72487,64034
36250,0,0
36862,45966,300000
36863,38000,30130
36854,44019,27057
35983,57239,43170
36275,51542,300000
35045,54388,37212
36346,47550,35327
35085,40648,33316
36091,67265,46110
36904,55952,40705
36784,40451,36477
36567,64173,45281
36451,50714,38228
36545,40592,23781
36251,44628,35064
36264,31459,25199
36346,51782,34974
36453,46792,30746
36330,88951,84211
36330,61449,49254
35660,51659,42586
35674,46357,300000
35662,72532,65185
35646,51460,38525
35674,44527,38139
36432,31633,28982
35136,33042,23325
36421,53559,300000
36421,58835,41801
35661,61868,56246
36467,46327,31463
36467,60141,43585
36049,40683,28886
35019,61900,65528
35179,53673,39630
35055,63213,300000
35055,37893,28850
35055,44858,32959
35070,43726,28444
36362,68310,59974
36401,34206,16878
36360,65625,49674
36360,31645,31497
36322,58239,61815
36350,42703,33772
36703,65458,45588
36701,23614,15982
36767,30567,20489
36701,26582,19843
36986,47226,37458
35971,41338,40569
36421,42170,26135
35962,50821,54135
35967,46422,40662
35967,57662,300000
36022,55257,50235
36024,51818,50579
36092,81059,49903
36054,57221,48383
36426,42831,40855
36426,63662,57710
36504,31072,23243
36041,51077,47797
35901,36536,23911
35901,65909,49884
35904,32898,19505
35901,42144,34726
35904,31929,22709
35906,50735,39380
35905,55639,300000
35954,59416,46048
35903,24359,22809
35555,40956,28972
35179,52592,38743
35546,54116,32380
35653,78787,48388
35593,37300,300000
36477,37651,27315
36344,26922,20881
36375,53395,42052
35443,24591,16667
36744,43686,28110
39851,47014,41328
36352,69416,53258
35057,62728,53463
36303,58553,45033
36301,57312,45442
36301,66532,53439
36303,34057,24260
36376,49175,37902
36312,54235,42227
35979,77322,45128
35772,31235,21391
35768,50287,42093
35768,42148,32599
36360,51326,42647
35771,40859,30827
35212,38145,28550
35212,30222,28006
35214,18832,16684
35204,29489,29052
35212,29126,23435
35212,43931,37499
35202,25675,12611
35204,30849,26300
35218,68538,43322
36701,36740,25083
35218,33091,21929
35208,34319,30412
35211,30472,14309
35204,21753,15614
35222,51831,34771
35205,28327,23929
35211,28613,19517
35213,46565,37262
35209,28720,26633
35215,45016,46009
36701,37361,25986
35023,52337,37992
35020,47506,46585
35020,21283,18646
35064,29768,27182
36576,53701,44265
35209,142440,123075
35213,155368,300000
35213,128504,104533
35217,18813,17037
35215,66500,300000
35173,70449,63764
35967,45113,31818
35173,80117,70762
35220,68096,66689
35091,80998,70230
35117,74951,65918
35071,51319,42982
35215,46171,42204
35214,50662,40369
35073,54763,47866
35127,90511,73076
35005,53383,47460
36024,54558,50225
35206,40281,24797
35243,95153,85431
35216,79077,39607
35243,65070,53548
35209,81011,57091
35221,31871,21950
35064,60913,300000
35064,52520,35063
35023,77131,300000
35111,90324,88210
36066,54523,41056
35020,46829,300000
35226,128915,300000
35226,115904,103436
35592,48082,14259
35660,19898,11362
35630,28404,25315
35630,45871,40925
35630,66925,57489
35633,58520,53758
35634,65375,49876
35901,34479,22032
35645,85950,62159
35652,53050,39930
35672,49453,30636
35673,50558,35481
35651,49474,34122
36830,82357,71002
36830,34498,23556
36830,44489,300000
36801,71907,300000
36801,60292,300000
35901,40819,28402
36874,56743,51524
36877,42186,29698
35613,84102,78280
35620,52624,47441
35611,43849,30742
35613,80593,60539
35758,101327,85287
36032,63560,52781
36088,50328,36023
36075,43995,35431
35905,53767,43691
35810,47407,33659
35810,38058,30776
35810,57474,42104
35811,53441,30532
35806,49178,42703
35801,93252,88860
35816,23273,20863
35805,37494,22507
35502,77007,300000
35803,79876,75064
35555,48781,39117
35803,83331,75474
35761,64802,63617
35761,56419,48140
35758,75746,64911
35749,80729,69225
35811,58474,44095
35758,134609,300000
35758,79792,56372
35763,65716,49914
36748,32346,20988
35582,36970,30452
36736,48416,30152
36748,47449,35339
35570,50049,32935
35563,31017,15096
35747,55987,38909
35175,62677,51925
35016,58478,300000
35976,55796,36870
35951,61634,300000
35950,32765,20717
35462,30928,20746
35957,77080,60413
36617,23700,16804
36617,40489,34201
36604,46053,32056
36605,36931,34077
36605,38383,30813
36605,50132,29059
36606,70996,68650
36606,42432,300000
36693,57689,54763
36310,40518,25216
36609,35468,14533
36618,49698,43324
36608,108483,300000
36608,58556,42972
36561,86000,66868
36693,64660,56165
36617,23955,20077
36613,24218,16243
36571,43803,300000
36560,48595,41530
36587,58182,48215
36303,75861,55836
36575,66912,55680
36695,98744,92467
36541,35313,25328
36544,51099,39571
36619,48721,46383
36605,63538,49255
36605,33457,21104
36509,0,0
36461,65025,48748
36480,33553,22348
36303,41374,27130
36107,32307,33114
36109,52473,51602
36108,14023,11494
36106,51585,39275
36109,47899,300000
36111,43562,31912
36105,33530,29294
36108,24669,22640
36109,102838,96944
36108,48406,31702
35766,45068,36873
36116,49593,54777
36110,69004,300000
36109,38679,28065
